,clusters
26319,15
3934,2
32752,11
33931,15
31711,11
9751,11
11828,10
20300,7
41440,11
7393,15
44034,11
7580,3
31314,5
46673,1
13852,2
47425,3
46553,10
13982,5
28200,14
12039,12
17554,2
41699,7
21280,12
29695,10
47399,2
31497,3
20687,3
33156,10
31790,5
12181,12
42508,2
24485,5
27513,11
38214,10
48161,5
8758,1
21155,11
24991,11
40481,15
34532,3
47049,13
42181,11
32529,5
30833,9
47927,5
21712,15
16301,15
36991,4
45639,10
49575,3
24590,2
17869,11
28353,1
13286,3
23814,3
543,15
35371,1
2833,4
8015,12
40511,10
22137,3
6577,11
25188,15
14674,4
9216,5
21463,8
21481,11
12724,11
24920,11
16383,5
6459,6
19028,3
33328,2
6540,7
14211,13
39611,1
30569,6
2135,6
29121,3
7390,5
11285,8
14238,6
1975,5
48442,2
49375,6
35362,10
5606,7
8811,5
43628,15
5357,10
4420,10
32973,2
10426,13
49263,6
25305,1
45460,1
34428,11
18027,8
15698,3
46096,2
25931,11
46823,7
16657,11
43922,0
7965,11
36154,8
21076,11
93,5
9627,7
19798,5
30915,7
12533,10
3618,11
40438,11
38104,15
15006,13
30962,7
16464,7
46164,0
40111,1
36900,11
36423,4
2995,15
25958,11
18090,2
19355,7
22666,7
30948,5
34689,8
21430,10
38179,3
41226,4
2166,3
42449,4
16029,6
22496,6
20285,14
3927,7
14180,11
14183,11
20372,15
30640,3
118,11
36144,15
11031,13
13963,5
15181,12
23170,15
20028,0
20754,5
23776,9
3477,10
43491,15
29268,4
47972,1
1248,1
4445,5
25753,6
23311,7
28872,4
2594,7
2373,3
39451,15
36881,6
10922,2
624,11
36209,9
3058,13
31793,10
27238,10
9375,11
21394,7
15851,10
37097,5
20456,12
48331,3
37704,1
23283,15
33963,10
25702,11
2365,1
11842,13
9534,0
30607,9
29706,15
39732,11
19528,2
2422,10
45431,10
20986,7
29004,11
38396,2
24378,11
31373,14
20521,10
27586,9
33616,11
43549,7
9341,3
6968,5
40816,11
11665,6
7316,7
18302,10
29693,7
10656,1
14982,3
30589,4
45604,4
28982,10
6631,15
30254,10
15332,11
16270,5
25655,13
17828,15
46557,8
18592,3
4199,4
35251,15
15608,8
32053,10
2697,5
17104,3
30677,0
15285,5
31766,5
43412,12
46363,15
45827,11
5291,3
25997,9
9718,0
8910,11
22906,10
41421,11
110,12
17761,13
17181,11
27320,6
22952,2
32424,0
25114,14
47682,1
21464,11
15726,5
16679,0
819,7
9388,6
35879,14
47693,7
23289,2
11770,11
41273,10
36634,10
47093,13
1861,3
24164,7
25898,7
7343,5
45725,5
47196,11
45879,5
20227,2
2631,12
25195,7
25715,3
4302,5
43540,7
42421,11
24281,15
16329,11
47635,11
22362,4
30499,7
49200,1
10130,9
3434,15
17002,10
26742,2
48498,11
10364,15
24841,9
47089,11
1633,3
1765,15
16245,12
46242,0
29086,2
6647,11
12145,7
12822,10
442,10
37524,1
29660,3
28580,14
39515,12
11719,5
29747,12
32522,11
11934,11
47268,11
49073,5
38532,10
39615,15
23978,3
31738,10
23226,14
33920,12
8712,0
5916,11
11310,12
21396,13
26653,13
34813,6
4738,5
1846,1
7872,15
9640,5
7493,11
48110,10
17683,2
42459,11
39792,15
44860,1
44121,3
39136,2
23333,8
28270,10
43583,14
39077,4
12639,7
21961,6
21178,2
42802,2
29779,5
32488,2
43192,6
25191,4
12021,14
2823,13
33474,11
13017,11
10729,9
31981,2
10843,10
481,11
35735,11
13423,9
9099,5
33694,12
41049,11
13330,7
39303,10
46300,15
3488,15
10684,2
37292,13
8871,5
595,15
12945,15
17749,11
30794,4
33494,2
5786,10
11557,10
39808,8
48570,15
44796,10
5235,11
23498,10
18114,8
22136,6
23953,5
18462,15
4116,1
741,7
26981,3
42670,4
24890,15
42512,8
46013,10
15757,15
4306,15
15065,7
24070,11
32515,2
26419,3
34671,1
34172,14
13673,5
8664,6
23439,2
6738,2
3242,12
34758,7
42233,11
28409,12
25312,15
44821,6
15206,15
19846,15
49153,9
303,7
45807,2
6072,11
17717,7
19607,6
11396,3
48593,15
30420,7
28460,0
33368,3
12789,11
41275,1
2565,5
37008,11
5084,11
3820,7
32462,15
33814,5
36989,13
31720,15
36825,11
45770,5
47110,13
45533,13
27864,7
4732,4
45781,11
44816,6
2275,13
27509,10
43848,10
11020,12
14191,11
47011,5
13720,2
24244,10
35246,10
47386,12
4818,0
14056,13
27130,11
45938,10
32853,6
19440,5
38685,13
35893,1
33656,0
48027,11
23208,15
41023,14
26491,15
39929,13
45409,6
42391,2
6928,11
41624,0
47300,10
8480,5
10628,10
37762,10
16756,6
42318,4
43149,10
30389,10
40655,11
36811,12
34422,8
27288,5
740,10
23755,11
17725,11
28418,2
26606,5
46785,5
45663,6
48930,15
9588,2
37195,6
11493,5
9929,2
7941,11
40618,10
29852,9
6110,0
6308,0
6671,10
10023,6
2606,10
11354,14
9837,11
18831,0
46086,10
7458,13
48041,15
34969,6
36663,11
16484,3
46155,10
45612,11
15551,12
17026,11
2405,0
39390,8
32948,3
8072,13
47569,4
44466,14
21453,3
6109,12
38256,5
9706,2
40562,11
39582,10
21942,5
12742,5
13615,7
45577,12
39040,15
11445,11
18601,2
22206,3
34311,3
44649,11
23161,11
20473,3
3887,3
9509,2
1696,9
48312,3
40574,5
3658,15
45585,10
43705,11
17491,15
11550,11
2459,1
45652,10
30534,6
33640,11
19722,10
2539,9
2301,5
38360,11
9315,2
40966,13
25048,5
160,4
36405,1
26822,3
29667,13
46770,10
13360,15
18576,15
37183,11
1691,11
13728,11
26045,11
49467,9
27030,11
22398,3
29856,5
14374,5
6285,15
9847,11
32559,5
46445,7
38935,7
29038,15
30310,2
30206,11
27495,9
34269,5
15985,12
21932,11
9471,4
48733,1
9240,5
17101,3
44833,10
8722,1
47970,10
36151,11
17170,11
21193,3
9626,11
44834,14
36327,6
13985,4
33847,0
33504,12
40300,3
37386,11
30305,15
33083,11
38461,13
12580,13
6665,10
15679,12
13919,10
17414,15
41618,4
1448,10
35889,11
7145,3
38589,12
22436,11
7429,0
29449,3
23767,10
43394,12
23032,11
47076,5
21637,5
8069,10
35818,10
28748,5
29263,3
20385,2
46754,7
19167,15
27245,15
35363,10
7704,13
40521,10
2335,9
29316,11
47014,8
40982,2
47733,3
7618,5
36333,10
31866,5
18389,7
8360,10
19892,3
21897,15
44393,11
3132,7
18489,2
39079,1
26723,2
19299,0
21571,7
27535,14
16915,13
17515,11
5859,10
46386,9
36371,3
29639,10
11171,8
21777,7
1584,12
6618,0
42957,15
19023,12
22527,5
35058,11
31863,10
20441,7
38665,3
19061,14
20674,14
26403,0
49374,7
45587,3
44951,13
23667,3
9233,7
18942,5
24013,13
17575,7
29825,11
40164,10
10479,5
41594,15
12937,13
23618,11
5856,4
40923,15
2592,12
46306,6
17393,2
28701,2
14111,11
25226,5
853,15
7737,5
42519,3
7739,11
26307,9
39428,7
32632,11
35335,12
30409,0
14755,3
18871,13
32596,6
47067,10
20894,7
8513,3
15266,10
27942,6
17616,15
8724,5
19087,0
42903,15
20990,5
5224,5
18556,10
25635,7
15381,10
14432,10
9813,7
21924,4
30091,0
4401,11
26031,6
13547,12
36662,13
38956,12
25034,3
3431,11
15655,11
41872,0
47418,0
16256,6
60,6
36445,11
334,2
45450,3
45080,3
30880,6
29915,15
7940,3
9331,4
11320,13
20905,14
27530,0
24906,15
21476,11
19522,15
18873,12
47412,7
39205,5
40189,7
13483,8
14959,15
21845,12
22820,13
47315,6
3650,6
41038,4
36969,13
5636,15
20170,9
21196,10
4625,11
28082,7
22394,5
19265,11
1504,9
30737,7
16749,6
34585,11
10010,11
35999,5
42696,11
39196,15
17967,13
1730,8
20125,13
43547,11
35049,10
9537,10
9425,7
10241,13
17699,7
21610,5
15903,11
3733,9
32746,15
2570,7
33523,15
11809,2
12880,5
34651,15
47336,10
7746,6
17383,10
16719,10
21272,3
34185,4
5675,3
16389,13
18335,15
46500,6
18438,3
41234,7
33541,2
22595,3
40087,15
7659,4
1605,7
45427,11
41469,12
1983,14
6074,10
33161,8
31455,13
14580,0
39814,12
12098,15
20910,7
25980,7
36120,7
46995,3
13450,5
14586,5
43951,3
25612,3
36898,11
37245,13
942,3
18324,8
16759,12
46481,4
26965,2
783,4
13386,6
36677,6
17687,2
21877,8
43644,7
47870,5
21752,8
46264,10
38729,4
19847,6
41660,3
6258,13
28846,0
29975,3
20984,7
47704,3
24533,7
45693,11
27798,2
44396,2
34030,13
27670,10
19758,3
33924,11
32492,7
10167,13
17551,8
45451,11
24710,14
46229,12
20386,15
43177,1
13959,5
3803,15
13275,10
9994,1
26109,7
4385,2
47179,3
8750,15
35690,13
13747,14
4240,11
10490,3
39602,3
18808,5
14181,4
29188,12
44728,5
11282,6
36861,3
3626,3
30319,3
44823,3
19201,12
38960,10
19204,7
37808,8
11047,14
29912,15
36174,10
49356,15
38486,4
46204,12
31456,11
6500,4
11933,15
24613,8
12205,6
46218,5
3131,11
32564,5
18425,6
27469,14
9723,11
5947,9
4331,11
23346,0
6121,3
8206,7
42550,13
29964,2
14420,7
32244,3
12131,0
26325,15
27991,0
8061,8
19972,5
47612,2
27240,6
32037,11
27804,15
3504,10
23820,3
31094,7
38931,8
7440,15
12261,5
38452,1
19054,5
44928,3
45614,6
36664,6
726,11
27910,10
47168,4
20802,5
34577,0
5862,4
16922,10
44286,10
49135,5
9184,12
18545,13
36970,11
12296,5
4567,2
40580,12
33603,6
45895,15
45379,15
159,12
47992,5
19050,0
37449,2
43320,13
36011,11
17121,6
4110,12
17622,11
20912,13
16467,3
36142,13
23001,13
15704,5
25575,10
13104,8
13308,6
41620,8
18240,5
11220,10
30494,5
38437,2
17340,6
21366,10
8467,9
38851,1
747,11
4446,12
21336,11
39519,5
33868,3
15140,7
9675,10
16474,6
17179,11
34450,0
12220,13
26379,10
7462,11
34770,9
42447,11
39208,1
13271,3
1107,15
3766,3
43448,12
14350,3
9599,11
30048,7
34047,10
24967,15
28631,11
31703,8
12276,11
23532,11
27274,11
49007,11
2262,10
21706,2
31344,5
23998,5
27056,8
43912,2
47561,7
22032,10
4408,6
32254,3
27583,6
40082,11
22358,2
37417,3
44619,3
17505,3
3672,11
36432,11
32021,13
19126,11
35414,6
11529,7
1525,2
26152,4
4795,1
35904,7
18894,11
40991,1
15567,15
2758,10
25138,6
2171,2
46374,13
31902,15
34857,0
40952,5
31537,10
39554,9
29136,11
6307,11
48661,10
48640,4
29721,10
24822,11
16623,15
40571,3
41489,4
21369,0
30618,14
10467,1
5707,3
12622,5
19589,12
22939,10
30365,13
37764,11
35415,10
14700,11
43896,10
32491,0
2639,11
32554,3
34176,6
37095,7
29113,15
4436,13
40717,6
45212,13
8023,11
10341,3
2247,5
40363,5
27538,7
4495,11
16545,12
772,15
23011,2
21094,13
18316,3
41304,11
3978,8
40492,10
12225,7
1497,0
12431,2
15793,0
9983,8
9085,11
19629,5
27098,9
34760,8
7274,7
10756,4
14264,9
26287,14
43596,10
9103,3
1593,7
18935,3
37239,3
15231,9
46312,6
46859,5
5430,7
10206,0
47817,14
42622,10
6705,15
11639,13
921,2
15109,7
33713,15
16789,15
21991,0
14753,7
26071,7
48470,11
10569,4
1398,4
5559,7
41077,6
37330,13
24086,5
22711,6
23284,4
9476,2
15202,5
28308,5
17568,13
18186,11
18004,15
34542,11
49334,1
33642,13
31993,5
49436,7
34724,11
3408,12
10035,8
24986,11
41863,5
35757,11
16599,5
838,14
30282,3
22292,10
35601,14
25126,15
31811,10
46014,10
26967,15
33155,7
3035,12
25942,15
36123,8
20790,11
9026,0
48051,5
25252,5
12323,9
41184,14
25834,2
27677,5
329,15
32703,6
3944,14
29375,15
2554,3
27339,13
7174,10
46654,11
27116,5
36157,5
12627,10
40638,1
43492,0
10960,12
26656,0
24712,15
38951,6
40601,5
31788,10
20046,12
4879,15
3938,5
30035,12
23052,15
46974,10
15855,10
38329,6
4127,0
45141,1
14122,6
26376,11
1553,8
27248,5
38883,0
33153,4
39468,3
31365,5
8302,2
23359,5
31959,5
26876,11
11994,10
46773,1
6907,4
2603,11
8785,11
33431,7
19482,15
25515,2
36205,7
10100,12
12482,6
29699,3
12480,6
11055,12
24022,0
38965,0
10752,4
13070,5
10248,2
21627,10
17118,10
22312,11
26612,6
4800,10
28377,11
9735,13
15759,5
18395,0
19711,3
13996,8
8672,13
17619,7
48069,1
19040,0
2870,10
41438,10
37063,9
2521,15
44037,14
25824,7
15152,0
15133,3
35921,6
28376,13
23708,11
36612,7
42331,6
8897,15
29841,13
4749,13
38862,1
27391,8
45661,5
33774,10
1490,15
26627,7
25949,0
23246,5
46120,7
2623,0
40133,7
9154,7
44243,11
44851,1
43687,3
43203,3
5668,13
1613,10
43568,14
44222,12
24689,15
11036,11
22612,12
34171,2
14948,2
20756,10
48860,12
22045,6
20057,11
48279,11
32308,6
38285,3
22347,11
31401,10
14475,9
43207,11
43253,15
35191,13
42379,7
14710,11
43391,12
20316,3
17032,7
9897,12
1900,15
38594,11
12575,7
49121,11
26953,13
43508,8
1512,2
33079,11
6400,3
35002,12
48613,7
13545,10
25523,11
36839,5
5039,14
23110,11
14072,6
2281,8
46539,15
37216,8
16996,10
12984,10
37626,1
14595,15
38251,13
33134,11
7120,13
5126,1
16105,10
16552,7
36720,10
24819,3
48293,11
35492,11
19224,7
18954,3
26217,7
23664,11
49557,3
42755,2
18391,15
9554,10
41060,15
44004,15
24223,11
49171,15
7463,8
21126,7
45546,10
46059,11
4056,13
29504,4
26238,0
9294,11
2670,7
31389,10
29406,11
41269,10
7321,0
6489,5
13831,6
11021,13
47182,3
6130,11
26537,15
33598,11
25622,11
11403,13
31006,0
15621,9
24799,5
42625,13
21999,5
20040,11
14212,12
29622,13
23398,10
36244,3
28791,0
13625,3
21596,5
18860,6
7065,6
44897,1
41336,6
17814,5
7548,11
32160,15
15210,15
6795,11
5282,3
48644,5
45219,10
9999,10
25420,12
8216,5
42692,1
37523,11
22692,9
40848,3
16178,5
8298,13
31861,6
45179,11
39123,5
25878,10
3273,12
47314,2
39849,11
34073,4
27171,11
6832,3
22104,5
77,10
6664,10
15583,2
27037,11
6115,15
5775,10
18747,5
16701,7
14361,6
43376,11
17207,11
46258,9
6966,11
40945,9
31561,3
27473,15
32367,6
38416,15
40031,11
31701,3
14575,6
1998,3
40833,15
17847,10
25813,5
8487,11
27974,4
16580,11
2257,5
25932,9
15130,5
2374,9
14079,15
7197,13
28243,7
25184,4
38006,1
3600,9
25204,5
10127,11
27957,5
47211,9
40477,11
42780,5
13744,5
41865,2
37581,4
37896,11
49110,3
3005,5
16672,10
10554,3
3652,3
49545,7
41494,11
17830,10
22613,4
4858,15
30465,2
32418,3
9432,9
20467,11
11437,11
42230,7
31935,7
32490,15
47123,4
47282,11
47316,3
19431,11
32769,10
48731,1
11912,8
4876,11
15631,10
42347,3
23631,11
27778,0
34524,11
807,1
20510,15
36685,1
47016,5
12801,10
42400,12
27049,5
20468,15
39666,2
19801,11
30417,10
36682,3
4599,1
23004,8
27358,7
47842,10
48679,7
13465,12
5058,3
21233,12
3716,14
37275,1
30865,12
24182,4
8824,2
12946,13
30998,0
49146,12
9721,5
42844,11
31263,4
43537,5
48980,15
4775,6
12595,7
40495,9
40446,10
41104,11
1799,11
12653,7
5118,11
13730,15
41502,1
47621,8
39522,13
42150,2
34948,6
18722,9
31337,11
46071,7
9013,7
42158,6
6317,3
31062,13
42667,9
28318,3
45469,11
34803,15
43790,6
37994,12
3115,10
31629,15
33297,11
3379,3
22586,12
49291,4
24743,11
44025,10
12949,13
32247,15
29241,7
32408,15
4343,1
37675,4
11815,4
43942,7
10520,8
28628,11
6513,10
23231,13
6016,5
22737,11
13637,10
10662,10
48787,4
46175,8
6315,13
27594,8
9915,11
48047,8
16856,5
8895,5
47951,11
41664,10
30581,7
37595,11
23353,7
5165,10
3995,11
16542,14
16387,11
22780,10
15350,15
6924,11
41726,15
18603,4
3935,14
2158,10
26827,11
28251,5
27932,11
15845,8
5418,11
20249,15
11553,12
3503,7
46634,15
34664,9
7099,11
3288,7
42890,12
48240,15
42598,11
21397,14
35902,5
28473,10
23482,7
42787,6
48209,11
16291,11
29897,6
14760,1
21261,2
46779,0
37071,15
6303,11
22493,7
42536,15
3481,11
30311,11
41389,15
10057,11
13958,9
9561,15
46021,5
21565,5
46760,8
32839,11
44894,11
45089,0
26903,15
30432,6
1129,11
7475,10
9538,9
24002,15
49133,5
17834,0
21469,2
43911,11
46102,15
37606,9
44993,15
43619,15
4842,15
1621,7
938,6
9062,5
10324,5
24858,11
17095,11
22421,10
8954,10
20472,6
31284,11
5879,12
19058,7
4614,15
36746,15
46927,4
32270,15
36197,11
29192,0
30687,0
15449,6
44533,15
33726,13
21988,15
46428,11
34661,14
43274,11
8325,3
9560,3
43402,2
11821,9
12164,5
44359,15
34959,15
25541,3
2423,5
5014,14
3634,9
27266,0
40507,10
42595,15
17712,12
20099,12
42094,7
19975,15
28301,12
18154,4
38864,6
9883,7
5272,5
15897,8
43955,0
47504,11
48034,14
46078,14
40121,11
35693,11
13495,13
30566,0
14623,5
17522,9
26555,6
24945,5
48229,11
3843,2
23308,4
36910,3
19225,2
30259,11
333,0
25076,8
31932,8
9873,2
2886,11
29311,14
45348,11
6891,6
15911,14
30530,6
38917,3
32036,5
18012,5
16535,15
30353,0
20324,11
9551,13
46601,12
4590,3
24027,13
26658,13
1781,4
5393,8
38608,0
45609,3
48280,11
8220,0
16793,10
36229,6
3875,2
36686,10
45886,0
23954,15
36001,12
47342,7
16190,5
16347,4
11694,15
8146,10
22293,0
38117,10
12264,11
32394,13
19280,15
8533,10
15137,0
41151,3
48834,1
31229,7
47124,11
19744,6
27916,5
30239,12
10247,0
17807,5
47444,13
28325,9
40780,8
34192,0
4043,9
15544,3
18992,5
38662,14
44672,11
20416,11
46856,11
15794,10
16306,10
14,12
3185,11
10660,5
7689,11
49006,11
44974,10
39767,11
4554,3
39497,1
21506,0
23344,7
21235,2
39293,8
12199,10
31248,4
3328,2
11270,8
25445,0
21389,6
12729,5
31953,3
19267,12
13822,11
10215,2
46094,9
30056,5
13277,10
22485,11
34439,10
9310,3
21198,11
26716,0
38545,15
6628,0
48782,11
43142,8
19104,10
11338,2
39648,15
13241,11
8375,5
8874,10
22058,13
17280,3
40873,15
39786,9
43906,6
41135,15
31380,7
276,15
28307,10
38807,8
28024,3
4164,10
40259,11
16170,11
15281,10
38365,11
548,10
45096,15
37221,6
11725,6
38977,15
42610,3
688,5
7968,10
28517,3
8258,9
9726,4
49532,15
18128,11
47357,5
41514,5
5504,3
48398,13
19183,14
48040,11
44855,4
35796,14
7067,9
36160,11
19809,11
35422,1
4179,13
28981,7
15754,10
19296,0
48656,4
34436,11
25943,8
8608,11
17567,11
25283,3
27958,11
13943,11
10524,11
41178,6
44429,1
16523,10
33126,5
7555,11
41836,14
45714,5
31276,15
11023,10
7379,8
44122,2
9399,15
44759,15
2694,6
7176,13
35667,4
8728,11
19586,8
41193,15
4536,0
629,9
31844,14
26512,10
30198,5
14761,0
15475,13
44457,10
26752,10
44938,3
31361,3
21484,7
8080,6
13034,4
32338,11
1934,11
1342,14
31665,6
16097,5
33758,0
48870,11
40208,3
22975,11
23442,7
42464,2
1733,15
29729,0
33152,4
10009,15
2860,3
9652,9
23287,4
36415,8
34467,10
43052,7
6351,5
40806,5
12306,10
23555,10
45124,11
16079,11
39161,4
49207,10
27684,8
32184,5
44966,10
37265,11
20625,4
111,7
384,9
14918,5
40070,8
36732,10
17384,2
32223,6
42495,3
14683,11
13106,5
2552,12
32475,15
36216,1
6887,10
40321,8
12236,2
12840,5
31091,11
22965,15
42002,14
46935,6
9802,0
48406,14
22591,7
4687,13
40824,7
28086,5
3199,9
6026,14
41251,2
12687,15
26296,9
29680,14
41589,1
3936,2
19370,5
8011,11
27993,2
14713,0
27334,9
15642,5
29257,13
4996,2
49231,5
12715,7
103,0
14801,12
41844,11
11449,3
30368,5
28814,8
6750,8
14593,3
1676,13
38957,15
22139,6
1394,2
20947,15
2175,3
16807,5
42014,12
17718,4
2668,7
30202,11
42110,11
15597,11
27303,4
11210,10
37752,13
38984,3
43986,10
41652,15
23193,11
8659,5
40755,10
30957,14
17601,7
1118,11
34236,2
17186,11
4582,11
15690,3
34029,13
11817,1
45861,13
14410,13
19601,0
3969,10
2363,7
13045,12
27496,15
39510,12
25002,12
827,10
79,14
48359,11
23364,14
7471,4
33839,8
47185,10
5755,6
16423,11
48724,2
44534,11
4532,13
9917,2
21026,1
2958,10
8848,15
3312,5
44981,4
41665,15
43107,10
36084,13
9196,14
19459,3
41895,15
12574,12
37360,6
8436,11
35708,7
22002,10
42291,15
29715,6
33402,10
283,11
31535,13
30774,0
11344,10
18423,5
6756,10
46156,3
25510,3
35643,11
46714,10
39159,1
43075,13
11397,7
35316,10
40061,5
41862,0
4160,15
44985,3
8254,5
42523,10
5752,11
21323,11
12247,5
47655,4
40357,12
44968,13
2722,14
43002,11
17235,15
8435,3
1506,4
7139,11
13138,11
10667,2
10720,3
20583,7
41293,2
36785,1
46959,14
43602,7
3973,5
34214,6
48628,10
28090,4
17415,2
1686,15
2511,5
12335,11
43414,11
44620,10
47364,11
5324,3
18295,8
21656,5
43804,3
23616,15
272,12
34461,11
40052,0
3105,11
34332,7
14232,0
23554,12
35385,12
43072,13
1627,6
6221,1
48530,10
42097,11
42663,2
13105,10
6603,5
27590,0
27752,11
35680,1
35787,10
7033,10
29687,15
15191,7
26875,2
12291,11
4995,13
5473,11
31005,12
20147,11
7546,13
8003,10
31296,5
47148,7
47752,7
7147,11
37349,4
36884,0
9719,12
39552,0
35503,1
46505,5
38848,2
9866,10
5949,10
22703,0
41204,11
24388,11
2407,10
12258,11
6883,6
17018,11
42482,10
12003,4
35111,10
11206,11
26159,13
8018,11
16983,12
28433,2
23984,0
46400,11
1084,11
28069,7
15743,8
32057,4
37113,11
35416,1
31568,4
13318,11
809,1
32634,11
42518,7
21283,8
11769,10
35635,10
45597,9
28645,15
28237,0
21448,10
4228,13
25563,7
94,2
17569,13
11679,0
47036,14
2260,11
20797,12
21730,15
5140,6
4712,7
39906,15
33021,7
8105,5
11325,15
27904,11
35732,11
15315,6
47568,11
43659,3
44420,7
24258,3
36451,14
15252,5
1098,2
37011,8
9060,6
34599,3
5589,11
30590,5
40668,11
49274,5
27352,7
13658,3
25169,13
32678,7
29682,9
25964,14
19119,5
6103,2
10278,4
14738,5
2460,15
3146,15
24692,11
41128,2
2937,2
7477,10
26266,2
31987,5
26065,11
6453,11
6516,1
14559,5
25987,1
28210,10
26416,14
39348,1
33187,11
20102,0
27907,9
24887,6
9920,11
29533,5
5812,10
17135,11
38651,10
6716,10
16570,11
19345,0
31388,7
7520,11
2555,11
15848,8
42211,15
23134,5
27494,9
19031,7
42836,9
8491,13
28290,15
925,7
32616,11
45301,6
27443,12
30776,13
47802,1
10651,5
22144,12
45934,13
26640,10
15537,0
43428,10
2367,1
32315,10
12501,15
33729,12
2853,10
18596,11
30714,6
32141,0
44585,15
35571,15
3334,11
6941,11
39300,8
13918,10
26713,7
1277,3
14892,2
48583,1
1413,15
37837,11
13345,10
9396,11
14854,10
36909,4
782,12
15491,5
18447,0
45656,10
11070,12
28712,11
1293,10
36735,13
14728,11
76,1
17336,13
46595,11
24680,6
15051,10
7612,10
31498,9
16040,4
37138,5
14885,11
42955,10
44499,7
44849,14
18329,7
13759,6
19622,0
42847,8
21666,11
13890,3
33264,6
37232,10
20289,12
24844,15
43730,10
31285,11
2589,15
11302,8
7153,10
25064,14
35651,12
1135,14
43572,12
29454,7
7063,5
26279,11
9615,11
1722,11
2582,1
6550,10
31441,8
26381,5
23572,8
4191,5
39383,4
10868,11
48983,11
